2호선,이대,2,37.556733,126.946013
2호선,아현,0,37.557345,126.956141
2호선,용답,4,37.561904,127.050899
2호선,신답,0,37.570040,127.046481
2호선,도림천,0,37.514287,126.882768
2호선,양천구청,2,37.512398,126.865819
2호선,신정네거리,2,37.520074,126.852912
3호선,지축,4,37.648048,126.913951
3호선,구파발,4,37.636763,126.918821
3호선,녹번,4,37.600927,126.935756
3호선,무악재,0,37.582299,126.950291
3호선,독립문,3,37.574571,126.957748
3호선,안국,1,37.576477,126.985443
3호선,동대입구,0,37.559052,127.005602
3호선,금호,0,37.548034,127.015872
3호선,압구정,1,37.527072,127.028461
3호선,신사,3,37.516334,127.020114
3호선,잠원,3,37.512759,127.011220
3호선,매봉,1,37.486947,127.046769
3호선,대치,3,37.494612,127.063642
3호선,학여울,0,37.496663,127.070594
3호선,대청,1,37.493514,127.079532
3호선,일원,3,37.483681,127.084390
4호선,당고개,1,37.670272,127.079066
4호선,상계,3,37.660878,127.073572
4호선,쌍문,3,37.648627,127.034709
4호선,미아사거리,1,37.613292,127.030053
4호선,길음,3,37.603407,127.025053
4호선,혜화,0,37.582336,127.001844
4호선,명동,0,37.560989,126.986325
4호선,신용산,0,37.529170,126.967894
4호선,남태령,3,37.463873,126.989134
9호선,노량진,3,37.514219,126.942454
분당선,개포동,3,37.489116,127.066140
분당선,대모산입구,100,37.491373,127.072720
경춘선,신내,3,37.612887,127.103218
경춘선,갈매,0,37.634118,127.114757
경춘선,별내,3,37.642020,127.126840
경춘선,퇴계원,0,37.648311,127.143952
경춘선,사릉,1,37.651080,127.176933
경춘선,금곡,1,37.637382,127.207853
경춘선,평내호평,1,37.653225,127.244493
경춘선,천마산,0,37.658978,127.285379
경춘선,마석,0,37.652782,127.311767
경춘선,대성리,1,37.684071,127.379319
경춘선,청평,0,37.735488,127.426610
경춘선,상천,0,37.770246,127.454821
경춘선,가평,4,37.814536,127.510739
경춘선,굴봉산,0,37.832067,127.557695
경춘선,백양리,0,37.830779,127.589330
경춘선,강촌,4,37.805723,127.634146
경춘선,춘천,0,37.885054,127.717023
경강선,삼동,0,37.409522,127.20336
경강선,경기광주,0,37.399907,127.252630
경강선,초월,0,37.374419,127.29900
경강선,곤지암,4,37.351315,127.346740
경강선,신둔도예촌,0,37.317185,127.40476
경강선,이천,0,37.265579,127.442260
경강선,부발,0,37.260192,127.490277
경강선,세종대왕릉,0,37.295309,127.570938
경강선,여주,0,,
분당선,서울숲,3,37.543617,127.044707
분당선,압구정로데오,3,37.527381,127.040534
분당선,가천대,4,37.448605,127.126697
분당선,태평,0,37.440019,127.127709
분당선,서현,3,37.385126,127.123592
분당선,수내,3,37.378455,127.114322
분당선,미금,3,37.350077,127.108910
분당선,오리,1,37.339824,127.108942
분당선,보정,0,37.312752,127.108196
분당선,죽전,100,37.324753,127.107395
분당선,신갈,1,37.286102,127.111313
분당선,상갈,3,37.261810,127.108847
분당선,청명,3,37.259489,127.078934
분당선,영통,1,37.251568,127.071394
분당선,망포,1,37.245795,127.057353
분당선,매탄권선,0,37.252759,127.040566
분당선,수원시청,1,37.261911,127.030736
분당선,매교,1,37.265481,127.015678
수인선,월곶,3,37.391769,126.742699
수인선,소래포구,3,37.400950,126.733522
수인선,인천논현,1,37.400614,126.722478
수인선,호구포,1,37.401637,126.708627
수인선,남동인더스파크,1,37.407722,126.695216
수인선,연수,1,37.417804,126.678940
수인선,송도,3,37.428514,126.657772
수인선,신포,1,37.468740,126.623853
5호선,방화,3,37.577446,126.812741
5호선,개화산,1,37.572399,126.806171
5호선,송정,100,37.561184,126.811973
5호선,마곡,4,37.560183,126.825448
5호선,발산,4,37.558598,126.837668
5호선,우장산,3,37.548768,126.836318
5호선,화곡,2,37.541513,126.840461
5호선,목동,2,37.526065,126.864931
5호선,양평,2,37.525648,126.885778
5호선,여의나루,2,37.527098,126.932901
5호선,마포,0,37.539574,126.945932
5호선,애오개,100,37.553736,126.956820
5호선,서대문,4,37.565773,126.966641
5호선,신금호,3,37.554548,127.020331
5호선,행당,1,37.557322,127.029476
5호선,마장,3,37.566100,127.042973
5호선,답십리,3,37.566747,127.052704
5호선,장한평,3,37.561440,127.064623
5호선,강동,1,37.535804,127.132481
5호선,길동,0,37.537801,127.140004
5호선,명일,0,37.551370,127.143999
5호선,고덕,1,37.555004,127.154151
5호선,둔촌동,0,37.527788,127.136248
5호선,방이,4,37.508857,127.126133
5호선,개롱,2,37.498079,127.134820
5호선,거여,100,37.493105,127.144150
5호선,마천,100,37.494990,127.152781
6호선,응암,1,37.598605,126.915577
6호선,역촌,1,37.606021,126.922744
6호선,독바위,3,37.618456,126.933031
6호선,구산,3,37.611377,126.917270
