ST-117,37.575794,126.971451,16,3
ST-118,37.575947,126.97406,12,3
ST-119,37.57177,126.974663,8,0
ST-120,37.572113,126.977577,7,0
ST-121,37.572582,126.978355,16,2
ST-122,37.570808,126.976433,9,0
ST-123,37.57,126.9711,11,0
ST-124,37.569969,126.973938,10,2
ST-125,37.569889,126.976456,13,0
ST-130,37.579708,126.980858,10,0
ST-131,37.57597,126.983063,9,0
ST-132,37.570396,126.981789,12,2
ST-142,37.576241,126.98616,19,0
ST-143,37.573357,126.987465,10,3
ST-144,37.570396,126.98819,11,0
ST-145,37.568344,126.987892,8,0
ST-150,37.570599,126.991791,10,0
ST-151,37.570198,126.991257,10,0
ST-153,37.578979,126.996475,5,0
ST-154,37.570957,126.997124,18,2
ST-155,37.571068,126.998192,10,0
ST-156,37.585629,127.000679,8,3
ST-157,37.58157,127.001785,10,0
ST-158,37.579784,127.002533,10,0
ST-159,37.575432,127.004982,12,3
ST-160,37.574036,127.006721,10,4
ST-161,37.573307,127.00071,15,0
ST-183,37.572029,126.960785,14,1
ST-165,37.576332,126.96859,7,3
ST-167,37.585079,126.970619,8,1
ST-168,37.583416,126.985237,15,3
ST-169,37.579388,126.984947,8,0
ST-170,37.579155,126.98896,10,3
ST-171,37.576508,127.002457,15,0
ST-172,37.577145,127.00206,15,0
ST-173,37.5825,126.998535,13,0
ST-174,37.576061,126.997681,8,2
ST-175,37.573242,127.015907,10,1
ST-176,37.572224,127.022705,10,4
ST-177,37.57576,127.022835,10,3
ST-178,37.579334,127.015083,8,100
ST-180,37.573849,126.958694,8,100
ST-181,37.569248,126.980537,12,2
ST-182,37.575493,126.9785,20,0
ST-336,37.569836,126.982658,10,0
ST-337,37.590233,126.99852,10,1
ST-444,37.585735,127.00161,10,0
ST-1372,37.570141,127.009377,10,2
ST-1373,37.56749,126.965919,15,3
ST-1374,37.568855,126.964561,8,4
ST-1432,37.57048,126.996635,13,0
ST-938,37.600128,126.957832,10,3
ST-939,37.603992,126.961945,10,3
ST-941,37.608719,126.972862,10,3
ST-978,37.583603,126.972549,20,3
ST-979,37.583515,126.979668,13,0
ST-1605,37.571239,127.00441,13,0
ST-1606,37.57114,127.000671,10,0
ST-1607,37.570358,126.986382,13,0
ST-1608,37.570961,127.006058,8,0
ST-1609,37.574471,127.019829,10,3
ST-1610,37.57132,127.00721,10,0
ST-1611,37.569939,126.977539,11,0
ST-1619,37.574364,126.972366,10,3
ST-116,37.56805,126.969231,7,0
ST-126,37.568878,126.97747,10,0
ST-127,37.566612,126.97747,35,0
ST-128,37.564674,126.976738,7,0
ST-129,37.556961,126.971771,5,3
ST-134,37.568527,126.982552,10,0
ST-136,37.566223,126.983589,20,0
ST-137,37.565464,126.984138,15,2
ST-138,37.564476,126.986969,15,0
ST-140,37.56134,126.9804,10,2
ST-146,37.568165,126.984978,10,2
ST-147,37.566383,126.987206,10,0
ST-148,37.56599,126.987793,5,0
ST-152,37.562618,126.992836,10,0
ST-162,37.569183,127.00988,10,100
ST-163,37.565331,127.007843,18,0
ST-185,37.563229,126.974838,8,100
ST-186,37.558872,127.005539,10,0
ST-187,37.554295,127.0112,10,3
ST-188,37.555859,127.013855,8,1
ST-189,37.560474,127.014076,10,1
ST-190,37.563717,127.018425,8,1
ST-193,37.569805,127.016953,10,100
ST-194,37.556,126.973358,7,0
ST-195,37.563866,127.002747,8,0
ST-196,37.558533,127.006989,10,0
ST-197,37.555199,127.010048,7,3
ST-198,37.565849,127.016403,17,3
ST-199,37.55978,126.968506,10,3
ST-338,37.566994,127.003464,10,2
ST-943,37.56673,126.996605,10,0
ST-944,37.56139,126.995354,10,0
ST-977,37.565437,126.973305,8,0
ST-1435,37.566559,126.992439,8,0
ST-1436,37.554108,126.965408,15,3
ST-1437,37.5644,126.991432,10,0
ST-1438,37.549889,127.007347,8,3
ST-1439,37.562172,127.006264,8,3
ST-1440,37.5709,127.019524,15,1
ST-1668,37.566345,126.982292,10,0
ST-1669,37.561489,127.023933,10,3
ST-1670,37.556862,126.975616,10,0
ST-946,37.555367,126.968643,20,1
ST-3,37.549561,126.905754,5,100
ST-4,37.555649,126.910629,20,0
ST-5,37.554951,126.910835,14,3
ST-6,37.550629,126.914986,13,0
ST-7,37.550007,126.914825,5,0
ST-8,37.548645,126.912827,10,100
ST-9,37.55751,126.918503,5,100
ST-10,37.552746,126.918617,10,2
ST-11,37.547691,126.919983,10,0
ST-15,37.547871,126.923531,10,3
ST-16,37.549202,126.923203,10,0
ST-18,37.557499,126.923805,25,100
ST-20,37.55706,126.924423,15,100
ST-19,37.547733,126.931763,10,3
ST-21,37.545284,126.931053,10,4
ST-22,37.545242,126.934113,5,1
ST-23,37.549767,126.933174,15,3
ST-24,37.547249,126.939293,10,4
ST-26,37.55114,126.936989,20,3
ST-27,37.549484,126.93895,15,0
ST-28,37.550411,126.943848,20,0
ST-29,37.55352,126.936951,15,3
ST-31,37.555054,126.937569,15,0
ST-32,37.554859,126.936157,10,0
ST-38,37.556004,126.942299,7,3
ST-200,37.557201,126.955666,11,3
ST-201,37.544579,126.950218,9,3
ST-202,37.543579,126.951324,10,1
ST-203,37.54425,126.951637,9,3
ST-204,37.539936,126.945824,12,3
ST-205,37.539272,126.945915,7,1
ST-206,37.542347,126.943024,11,100
ST-207,37.552956,126.934341,15,3
ST-208,37.555687,126.905548,10,100
ST-209,37.55661,126.898018,30,1
ST-210,37.564697,126.912613,12,3
ST-211,37.560909,126.905495,13,1
ST-212,37.56855,126.914513,15,1
ST-213,37.549904,126.955147,10,1
ST-214,37.553001,126.956688,12,1
ST-1477,37.568722,126.896225,10,3
ST-339,37.551342,126.902672,15,3
ST-340,37.551567,126.902847,10,4
ST-341,37.565166,126.919395,15,3
ST-342,37.558949,126.907753,9,4
ST-343,37.542545,126.934296,15,4
ST-344,37.563965,126.898209,40,3
ST-443,37.566845,126.896446,30,3
ST-110,37.587524,126.883003,15,4
ST-76,37.586189,126.881615,15,1
ST-77,37.582855,126.879822,20,1
ST-78,37.58559,126.884727,20,1
ST-80,37.582657,126.885788,8,2
ST-81,37.581314,126.880585,15,3
ST-83,37.580631,126.883675,8,3
ST-84,37.580811,126.88665,20,2
ST-86,37.579399,126.88916,25,2
ST-88,37.577496,126.887772,10,3
ST-90,37.577995,126.891472,9,2
ST-91,37.575802,126.890739,20,2
ST-92,37.571476,126.889687,9,3
ST-94,37.57822,126.89447,8,2
ST-95,37.577469,126.897362,10,100
ST-96,37.575665,126.894447,12,3
ST-93,37.575069,126.899918,20,3
ST-89,37.570721,126.898979,10,0
ST-87,37.56842,126.899429,21,0
ST-85,37.566246,126.896179,40,0
ST-82,37.565903,126.901184,8,1
ST-968,37.569084,126.894424,13,0
ST-990,37.57362,126.898048,15,3
ST-991,37.584503,126.885597,10,2
ST-992,37.549061,126.954178,10,0
ST-1397,37.569584,126.903816,10,1
ST-1494,37.563339,126.908203,10,0
ST-1675,37.556591,126.94619,10,3
ST-1691,37.54821,126.941383,12,0
ST-1692,37.56472,126.906769,15,1
ST-1693,37.535751,126.944038,10,3
ST-13,37.568199,126.917847,20,3
ST-12,37.558933,126.927116,15,0
ST-14,37.564541,126.927071,5,100
ST-17,37.59116,126.94133,25,3
ST-25,37.59433,126.947388,20,1
ST-30,37.555496,126.93634,20,0
ST-33,37.584171,126.911102,23,4
ST-35,37.582031,126.908997,15,4
ST-36,37.557892,126.93808,8,0
ST-37,37.559101,126.939178,10,0
ST-39,37.556812,126.943184,10,100
ST-40,37.559177,126.934525,10,3
ST-43,37.559795,126.934479,13,0
ST-41,37.560009,126.940735,20,0
ST-42,37.562382,126.932648,20,0
ST-215,37.571259,126.96048,15,1
ST-216,37.556953,126.946342,7,100
ST-217,37.557549,126.959381,20,3
ST-218,37.582245,126.950645,8,1
ST-219,37.565269,126.946243,15,1
ST-220,37.583698,126.924965,7,3
ST-221,37.574478,126.910049,10,1
ST-222,37.575138,126.91394,20,1
ST-223,37.573277,126.919678,20,4
ST-224,37.57946,126.91713,15,3
ST-226,37.573002,126.907799,15,3
ST-227,37.573112,126.922447,10,4
ST-228,37.564724,126.967278,10,0
ST-229,37.573254,126.935722,8,1
ST-230,37.564777,126.966148,8,3
ST-231,37.578072,126.930817,20,1
ST-555,37.581097,126.924026,10,100
ST-345,37.577675,126.909805,8,1
ST-349,37.579876,126.906349,10,1
ST-232,37.569122,126.914795,15,0
ST-233,37.559967,126.962463,10,1
ST-346,37.586388,126.935127,10,4
ST-347,37.578892,126.910736,10,1
ST-348,37.572227,126.923065,10,1
ST-350,37.577316,126.902969,10,0
ST-351,37.567657,126.917809,10,3
ST-352,37.56612,126.925896,10,3
ST-354,37.562138,126.963776,15,3
ST-1188,37.557396,126.952164,8,3
ST-1189,37.578381,126.936096,15,0
ST-1190,37.567966,126.931725,10,4
ST-1491,37.5867,126.94677,8,1
ST-1492,37.558128,126.956207,13,3
ST-1493,37.597149,126.93853,12,3
ST-1643,37.574909,126.926147,7,100
ST-1644,37.56974,126.933327,7,1
ST-1195,37.55125,127.035103,10,100
ST-1197,37.56461,127.029198,10,3
ST-1198,37.566261,127.023697,10,1
ST-1199,37.542816,127.042084,20,3
ST-1336,37.562607,127.051308,10,1
ST-1377,37.561245,127.048851,9,3
ST-1599,37.546089,127.02507,15,1
ST-1601,37.56179,127.024391,8,3
ST-1616,37.560146,127.02636,15,1
ST-1617,37.554779,127.024841,15,3
ST-1618,37.56068,127.026779,15,3
ST-1659,37.550892,127.044762,14,0
ST-103,37.549061,127.057793,7,2
ST-104,37.548203,127.057114,7,2
ST-105,37.545166,127.05751,10,2
ST-106,37.539654,127.052589,20,2
ST-107,37.541222,127.0438,10,3
ST-108,37.544582,127.044609,16,0
ST-109,37.548561,127.045006,15,0
ST-111,37.546307,127.049805,13,2
ST-112,37.54258,127.063309,7,2
ST-234,37.571526,127.035355,20,0
ST-235,37.566994,127.029915,20,3
ST-236,37.563858,127.030319,10,3
ST-237,37.561447,127.03492,14,3
ST-238,37.548641,127.016426,9,3
ST-239,37.543663,127.014061,11,3
ST-240,37.5522,127.025055,10,1
ST-241,37.558052,127.040352,20,0
ST-242,37.563511,127.056725,10,0
ST-243,37.561371,127.06366,15,3
ST-244,37.568748,127.030403,9,1
ST-245,37.548149,127.021088,7,1
ST-246,37.548634,127.025726,20,3
ST-247,37.553986,127.033592,16,3
ST-248,37.55735,127.029213,8,4
ST-249,37.560356,127.041397,10,0
ST-250,37.56765,127.051155,15,3
ST-251,37.57164,127.03566,15,0
ST-357,37.542053,127.020401,20,3
ST-358,37.567642,127.025696,10,3
ST-359,37.564606,127.036522,20,0
ST-360,37.561096,127.036797,10,0
ST-361,37.551205,127.068932,8,100
ST-362,37.542816,127.04467,10,3
ST-363,37.559246,127.07341,10,4
ST-364,37.547913,127.062752,10,100
ST-365,37.547928,127.015572,15,3
ST-366,37.541363,127.017662,20,1
ST-368,37.54459,127.057083,15,2
ST-369,37.571102,127.02356,10,1
ST-370,37.549583,127.030243,10,1
ST-371,37.548286,127.062088,8,100
ST-372,37.565205,127.041847,8,3
ST-373,37.554493,127.02021,6,3
ST-374,37.561012,127.054237,13,1
ST-375,37.543179,127.04908,10,0
ST-376,37.56797,127.04689,20,1
ST-446,37.536808,127.055489,9,100
ST-447,37.565941,127.045395,10,1
ST-482,37.545418,127.052643,10,2
ST-506,37.544159,127.056656,8,100
ST-967,37.558365,127.056908,15,0
ST-1738,0.0,0.0,2,3
ST-983,37.557587,127.079697,10,0
ST-984,37.539501,127.083,10,4
ST-985,37.565659,127.084297,15,3
ST-986,37.550488,127.108955,20,3
ST-987,37.538052,127.076599,8,3
ST-988,37.535221,127.068398,12,3
ST-1191,37.537014,127.061096,10,3
ST-1192,37.545952,127.078003,25,3
ST-1193,37.548222,127.067879,10,4
ST-1194,37.553417,127.073196,20,100
ST-1427,37.568649,127.08625,10,1
ST-1271,37.543705,127.093246,10,1
ST-1266,37.562527,127.082275,10,100
ST-1263,37.556862,127.07914,8,100
ST-1378,37.542519,127.084084,10,100
ST-1379,37.543427,127.096619,10,1
ST-1429,37.541718,127.08017,10,100
ST-1428,37.550236,127.073822,15,0
ST-1602,37.550598,127.110512,8,2
ST-1603,37.549789,127.075928,15,0
ST-1660,37.539139,127.070618,10,100
ST-1661,37.540138,127.069283,12,0
ST-1662,37.559158,127.087517,10,100
ST-1663,37.531811,127.080742,10,100
ST-1664,37.548489,127.093758,15,1
ST-1690,37.541248,127.06604,20,3
ST-97,37.54707,127.074272,10,0
ST-98,37.537308,127.070351,15,0
ST-99,37.53186,127.067192,27,3
ST-100,37.536667,127.073593,15,3
ST-101,37.53297,127.075935,9,100
ST-102,37.53701,127.082245,10,4
ST-113,37.530235,127.08683,10,4
ST-114,37.548405,127.069366,10,1
ST-252,37.559795,127.074203,10,4
ST-253,37.55603,127.078644,8,1
ST-254,37.535465,127.094482,19,3
ST-255,37.535969,127.094673,20,0
ST-256,37.54073,127.102905,20,1
ST-257,37.532478,127.085091,8,4
ST-258,37.52977,127.07486,20,4
ST-259,37.551224,127.089706,10,100
ST-377,37.540062,127.094498,10,1
ST-378,37.536579,127.092972,10,3
ST-379,37.571255,127.079803,10,4
ST-381,37.537849,127.092171,10,1
ST-382,37.548496,127.07476,20,0
ST-383,37.56538,127.08651,20,3
ST-384,37.545231,127.084732,10,4
ST-385,37.551849,127.088982,20,1
ST-386,37.564293,127.086937,10,3
ST-387,37.54483,127.104263,10,3
ST-388,37.546547,127.106133,10,1
ST-445,37.547829,127.072632,20,3
ST-483,37.532688,127.067497,15,1
ST-972,37.53989,127.073364,20,0
ST-973,37.542778,127.075371,5,100
ST-974,37.541912,127.077637,30,2
ST-980,37.528587,127.077873,5,100
ST-260,37.589912,127.06868,10,3
ST-261,37.575947,127.037361,10,3
ST-262,37.572174,127.071388,10,100
ST-264,37.569656,127.055962,15,1
ST-265,37.5742,127.026497,8,0
ST-266,37.584625,127.07029,6,4
ST-267,37.602711,127.067863,10,3
ST-269,37.587791,127.037361,20,3
ST-270,37.573086,127.052162,10,1
ST-271,37.573666,127.030815,20,3
ST-272,37.575272,127.023468,10,0
ST-273,37.577686,127.031013,20,3
ST-274,37.576382,127.03511,20,1
ST-275,37.582561,127.054367,20,3
ST-276,37.574203,127.057693,20,1
ST-389,37.574718,127.053391,13,3
ST-390,37.577793,127.057831,15,1
ST-391,37.583698,127.053856,20,0
ST-392,37.574188,127.045891,10,100
ST-393,37.568192,127.057175,9,100
ST-394,37.561153,127.070969,10,1
ST-395,37.578632,127.071907,10,1
ST-396,37.586815,127.067543,15,3
ST-397,37.574852,127.040306,15,1
ST-398,37.568184,127.051277,15,0
ST-400,37.580406,127.044823,8,100
ST-401,37.59602,127.05983,20,0
ST-402,37.587517,127.052773,12,1
ST-403,37.5909,127.042587,10,0
ST-404,37.591614,127.045792,10,3
ST-405,37.583008,127.060974,20,0
ST-406,37.585197,127.060951,14,0
ST-407,37.582455,127.044495,6,4
ST-408,37.573753,127.038536,10,3
ST-409,37.570156,127.048584,7,4
ST-410,37.566971,127.074417,10,100
